name,emergency,addr:city,addr:street,addr:housenumber,addr:postcode,healthcare,website,phone,opening_hours,operator,beds,old_name,healthcare:speciality,social_facility:for,social_facility,wheelchair
Abilene Regional Medical Center,yes,Abilene,US 83,6250,79606.0,hospital,https://www.abileneregional.com/,+1 325 428 1000,24/7,,231.0,,,,,
Abilene State Supported Living Center,no,Abilene,Maple Street,2501,79602.0,hospital,https://www.dads.state.tx.us/services/SSLC/,+1 325 692 4053,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Advanced Diagnostics East Hospital & 24 Hour Emergency Center,yes,Houston,East Freeway,12950,77015.0,hospital,http://www.adhealthcare.com/,+1 713 330 3887,24/7,Advanced Diagnostics Hospitals & Clinics,4.0,,,,,
Allegiance Specialty Hospital,yes,Kilgore,South Henderson Boulevard,1612,75662.0,hospital,,+1 903 984 3505,24/7,Allegiance Health Management,,Roy H Laird Memorial Hospital,,,,
Altus Baytown Hospital,yes,Baytown,West Baker Road,1626,77521.0,hospital,https://www.altushospital.org/,+1 281 837 7600,24/7,Altus Hospital,14.0,,,,,
Anson General Hospital,yes,Anson,Avenue J,101,79501.0,hospital,,+1 325 823 3231,24/7,,,,,,,
Arise Austin Medical Center,yes,Austin,Bee Caves Road,3003,78746.0,hospital,http://www.arisemedicalcenter.com/,+1 512 314 3800,24/7,Arise Healthcare,,Renaissance Womens Center of Austin,,,,
Ascension Seton Highland Lakes Hospital,yes,Burnet,South Water Street,3201,78611.0,hospital,https://www.seton.net/locations/highland-lakes/,+1 512 715 3000,24/7,Ascension,25.0,,,,,
Austin Oaks Hospital,no,Austin,West Stassney Lane,1407,78745.0,hospital,https://austinoakshospital.com/,+1 512 440 4800,,,80.0,,psychiatry,,,
Austin State Hospital,no,Austin,Guadalupe Street,4110,78751.0,hospital,https://www.dshs.texas.gov/mhhospitals/AustinSH/,+1 512 452 0381,,,,,psychiatry,mental_health,group_home,
Austin State Supported Living Center,no,Austin,West 35th Street,2203,78703.0,hospital,https://www.dads.state.tx.us/services/SSLC/,+1 512 454 4731,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Ballinger Memorial Hospital,yes,Ballinger,Avenue B,608,76821.0,hospital,,+1 325 365 2531,24/7,,,,,,,
Baptist Emergency Hospital,yes,San Antonio,North Loop 1604 West,8230,78249.0,hospital,https://www.baptistemergencyhospital.com/,+1 210 572 8885,24/7,,,,,,,
Baptist Hospitals of Southeast Texas - Beaumont Campus,yes,Beaumont,College Street,3080,77701.0,hospital,https://www.bhset.net/About-Us/Our-Facilities/Beaumont.aspx,+1 409 212 5000,24/7,Baptist Hospitals of Southeast Texas,,Memorial Hermann Baptist Beaumont Hospital,,,,
"Baptist Hospitals of Southeast Texas, Orange Campus",yes,Orange,Strickland Drive,608,77630.0,hospital,https://www.bhset.net/About-Us/Our-Facilities/Orange.aspx,+1 409 883 9361,24/7,Baptist Hospitals of Southeast Texas,,Memorial Hermann Baptist Orange Hospital,,,,
Baptist Medical Center,yes,San Antonio,Dallas Street,111,78205.0,hospital,https://www.baptisthealthsystem.com/our-locations/baptist-medical-center,+1 210 297 7000,24/7,TH Medical,,,,,,
Baptist Saint Anthony's Health System,yes,Amarillo,Wallace Boulevard,1600,79106.0,hospital,https://bsahs.org/,+1 806 212 2000,24/7,,,,,,,
Bay Area Regional Medical Center,yes,Webster,Blossom Street,200,77598.0,hospital,https://www.barmc.us/,+1 281 525 7000,24/7,,,,,,,
Baylor College of Medicine McNair Campus,no,,,,,hospital,,,,,,,,,,
Baylor Emergency Medical Center,yes,Burleson,South Freeway,12500,76028.0,hospital,https://www.bayloremc.com/burleson/,+1 214 294 6250,24/7,Baylor Scott & White Health,8.0,,,,,
Baylor Emergency Medical Center,yes,Rockwall,Alpha Drive,1975,75087.0,hospital,https://www.bayloremc.com/rockwall/,+1 214 294 6200,24/7,Baylor Scott & White Health,8.0,,,,,
Baylor Medical Center at Trophy Club,yes,Trophy Club,East State Highway 114,2850,76262.0,hospital,http://www.baylortrophyclub.com/,+1 817 837 4600,24/7,Baylor Scott & White Health,22.0,,,,,
Baylor Medical Center at Uptown,yes,Dallas,East Lemmon Avenue,2727,75204.0,hospital,http://www.bayloruptown.com/,+1 214 443 3000,24/7,,,Mary Shiels Hospital,,,,
Baylor Orthopedic and Spine Hospital,yes,Arlington,Highlander Boulevard,707,76015.0,hospital,http://baylorarlington.com/,+1 855 416 7846,24/7,Baylor Scott & White Health,20.0,,,,,
Baylor Scott & White All Saints Medical Center – Fort Worth,yes,Fort Worth,8th Avenue,1400,76104.0,hospital,https://www.bswhealth.com/locations/fort-worth,+1 817 926 2544,24/7,Baylor Scott & White Health,574.0,Baylor All Saints Hospital,,,,
Baylor Scott & White Emergency Medical Center,yes,Cedar Park,East Whitestone Boulevard,900,78613.0,hospital,https://www.bswemc.org/,+1 512 684 4000,24/7,Baylor Scott & White Health,8.0,,,,,
Baylor Scott & White Hillcrest Medical Center,yes,Waco,Hillcrest Medical Boulevard,100,76712.0,,http://www.sw.org/location/waco-hillcrest-medical-center,254-202-2000,,,,Hillcrest Baptist Medical Center,,,,
Baylor Scott & White Institute for Rehabilitation,no,Dallas,North Washington Avenue,909,75246.0,hospital,https://www.bswrehab.com/,+1 214 820 9300,,Baylor Scott & White Health,92.0,Baylor Institute for Rehabilitation at Gaston Episcopal Hospital,,,,
Baylor Scott & White Medical Center – Brenham,yes,Brenham,Medical Parkway,700,77833.0,hospital,https://www.bswhealth.com/locations/brenham,+1 979 337 5000,24/7,Baylor Scott & White Health,60.0,Trinity Community Medical Center of Brenham,,,,
Baylor Scott & White Medical Center – Carrollton,yes,Carrollton,North Josey Lane,4343,75010.0,hospital,https://www.bswhealth.com/locations/carrollton,+1 972 492 1010,24/7,Baylor Scott & White Health,,Trinity Medical Center,,,,
Baylor Scott & White Medical Center – Centennial,yes,Frisco,Lebanon Road,12505,75035.0,hospital,https://www.bswhealth.com/locations/centennial,+1 972 963 3333,24/7,Baylor Scott & White Health,,Centennial Medical Center,,,,
Baylor Scott & White Medical Center – College Station,yes,College Station,Scott & White Drive,700,77845.0,hospital,https://www.bswhealth.com/locations/college-station,+1 979 207 0100,24/7,Baylor Scott & White Health,143.0,,,,,
Baylor Scott & White Medical Center – Frisco,yes,Frisco,Warren Parkway,5601,75034.0,hospital,https://baylorfrisco.com/,+1 214 407 5000,24/7,Baylor Scott & White Health,68.0,,,,,
Baylor Scott & White Medical Center – Grapevine,yes,Grapevine,West College Street,1650,76051.0,hospital,https://www.bswhealth.com/locations/grapevine,+1 817 481 1588,24/7,Baylor Scott & White Health,,Baylor Medical Center at Grapevine,,,,
Baylor Scott & White Medical Center – Irving,yes,Irving,North Macarthur Boulevard,1901,75061.0,hospital,https://www.bswhealth.com/locations/irving/about,+1 972 579 8100,24/7,Baylor Scott & White Health,296.0,Baylor Medical Center at Irving,,,,
Baylor Scott & White Medical Center – Lake Pointe,yes,Rowlett,Scenic Drive,6800,75088.0,hospital,https://www.bswhealth.com/locations/lake-pointe/,+1 972 412 2273,24/7,Baylor Scott & White Health,112.0,Lake Pointe Medical Center,,,,
Baylor Scott & White Medical Center – Llano,yes,Llano,West Ollie Street,200,78643.0,hospital,https://www.bswhealth.com/locations/llano,+1 325 247 5040,24/7,Baylor Scott & White Health,,Llano Memorial Hospital,,,,
Baylor Scott & White Medical Center – Marble Falls,yes,Marble Falls,West Highway 71,810,78654.0,hospital,https://www.bswhealth.com/locations/marble-falls,+1 830 201 8000,24/7,Baylor Scott & White Health,46.0,,,,,
Baylor Scott & White Medical Center – McKinney,yes,McKinney,West University Drive,5252,75071.0,hospital,https://www.bswhealth.com/locations/mckinney/,+1 469 764 1000,24/7,Baylor Scott & White Health,,,,,,
